Ward number ,Ward Name,Number of Connections,Consumption in ML,avg_household_size,income_level,water_efficiency
2622,Synthetic Ward 2424,3008,403.95,3,Low,0.74
2623,Synthetic Ward 2425,2812,315.06,2,Low,0.57
2624,Synthetic Ward 2426,9245,183.17,4,Low,0.63
2625,Synthetic Ward 2427,8319,168.32,5,Middle,0.97
2626,Synthetic Ward 2428,1966,402.44,2,Middle,0.68
2627,Synthetic Ward 2429,7880,209.86,3,Low,0.95
2628,Synthetic Ward 2430,3917,414.99,5,Middle,0.65
2629,Synthetic Ward 2431,9524,358.37,4,Middle,0.77
2630,Synthetic Ward 2432,2428,246.86,5,Middle,0.51
2631,Synthetic Ward 2433,2089,227.63,2,Low,0.76
2632,Synthetic Ward 2434,7359,266.92,4,High,0.82
2633,Synthetic Ward 2435,3624,448.7,3,High,0.62
2634,Synthetic Ward 2436,8757,257.66,4,High,0.79
2635,Synthetic Ward 2437,263,476.54,4,Low,0.82
2636,Synthetic Ward 2438,6470,54.88,6,Middle,0.84
2637,Synthetic Ward 2439,8047,295.12,4,Middle,0.89
2638,Synthetic Ward 2440,521,18.4,4,Low,0.66
2639,Synthetic Ward 2441,3292,203.62,5,Low,0.78
2640,Synthetic Ward 2442,4613,216.66,3,High,0.99
2641,Synthetic Ward 2443,2284,259.87,5,High,0.95
2642,Synthetic Ward 2444,3333,266.22,5,Low,0.98
2643,Synthetic Ward 2445,6088,390.3,2,High,0.69
2644,Synthetic Ward 2446,3999,35.41,5,Middle,0.89
2645,Synthetic Ward 2447,6801,409.66,6,Low,0.81
2646,Synthetic Ward 2448,1271,170.69,6,Low,0.54
2647,Synthetic Ward 2449,7561,363.74,2,Middle,0.91
2648,Synthetic Ward 2450,8137,51.74,3,Middle,0.84
2649,Synthetic Ward 2451,9799,375.6,3,Middle,0.6
2650,Synthetic Ward 2452,4519,221.46,5,High,0.54
2651,Synthetic Ward 2453,6978,39.38,5,Low,0.92
2652,Synthetic Ward 2454,7515,188.3,5,High,0.54
2653,Synthetic Ward 2455,3060,55.84,3,Middle,0.55
2654,Synthetic Ward 2456,1027,24.86,4,High,0.71
2655,Synthetic Ward 2457,3498,14.41,6,Middle,0.57
2656,Synthetic Ward 2458,9878,302.44,4,High,0.96
2657,Synthetic Ward 2459,1505,155.01,4,High,0.74
2658,Synthetic Ward 2460,5812,131.93,3,Middle,0.78
2659,Synthetic Ward 2461,4179,345.72,4,High,0.96
2660,Synthetic Ward 2462,8279,339.14,2,Low,0.77
2661,Synthetic Ward 2463,6918,203.36,5,High,0.68
2662,Synthetic Ward 2464,2225,287.61,2,High,0.9
2663,Synthetic Ward 2465,7966,464.09,6,Low,0.72
2664,Synthetic Ward 2466,7021,199.79,5,Middle,0.66
2665,Synthetic Ward 2467,1614,327.77,4,Low,0.86
2666,Synthetic Ward 2468,590,194.03,6,High,0.9
2667,Synthetic Ward 2469,5411,328.7,5,Middle,0.9
2668,Synthetic Ward 2470,5753,23.91,4,High,0.99
2669,Synthetic Ward 2471,1647,370.77,2,High,0.89
2670,Synthetic Ward 2472,4963,182.5,5,Low,0.88
2671,Synthetic Ward 2473,5228,258.15,4,Low,0.93
2672,Synthetic Ward 2474,9447,127.24,2,Middle,0.5
2673,Synthetic Ward 2475,4130,253.7,6,Middle,0.68
2674,Synthetic Ward 2476,6418,456.64,6,Middle,0.87
2675,Synthetic Ward 2477,8394,57.16,6,High,0.8
2676,Synthetic Ward 2478,4892,185.84,6,Low,0.59
2677,Synthetic Ward 2479,3896,387.73,3,Low,0.65
2678,Synthetic Ward 2480,9354,232.2,5,Low,0.67
2679,Synthetic Ward 2481,1989,358.58,5,Middle,0.78
2680,Synthetic Ward 2482,4497,478.46,3,Low,0.92
2681,Synthetic Ward 2483,4235,456.21,4,Low,0.97
2682,Synthetic Ward 2484,2583,204.44,4,Low,0.88
2683,Synthetic Ward 2485,2853,114.44,6,Middle,0.92
2684,Synthetic Ward 2486,3050,317.6,2,Low,0.74
2685,Synthetic Ward 2487,907,202.64,4,Middle,0.69
2686,Synthetic Ward 2488,6048,431.73,2,Low,0.7
2687,Synthetic Ward 2489,2528,228.44,5,Low,0.81
2688,Synthetic Ward 2490,798,499.28,2,Low,0.56
2689,Synthetic Ward 2491,2488,398.29,5,Middle,0.79
2690,Synthetic Ward 2492,8172,443.6,3,Middle,0.83
2691,Synthetic Ward 2493,8739,360.87,3,Low,0.72
2692,Synthetic Ward 2494,5109,347.16,6,High,0.98
2693,Synthetic Ward 2495,4345,420.64,4,Middle,0.8
2694,Synthetic Ward 2496,558,216.73,6,Middle,0.61
2695,Synthetic Ward 2497,5656,34.08,5,Low,0.74
2696,Synthetic Ward 2498,7439,185.85,6,High,0.84
2697,Synthetic Ward 2499,9594,470.94,2,Low,0.66
2698,Synthetic Ward 2500,3699,175.14,5,Middle,0.54
2699,Synthetic Ward 2501,3272,331.81,3,Middle,0.79
2700,Synthetic Ward 2502,4550,158.69,4,Low,0.97
2701,Synthetic Ward 2503,7200,62.86,5,Low,0.74
2702,Synthetic Ward 2504,8566,491.28,5,High,0.95
2703,Synthetic Ward 2505,8568,455.3,2,High,0.92
2704,Synthetic Ward 2506,9021,143.61,4,Middle,0.57
2705,Synthetic Ward 2507,8729,191.47,3,High,0.85
2706,Synthetic Ward 2508,4577,431.95,5,High,0.72
2707,Synthetic Ward 2509,9910,130.93,5,Middle,0.63
2708,Synthetic Ward 2510,1700,339.46,2,Middle,0.84
2709,Synthetic Ward 2511,5972,98.5,6,Middle,0.87
2710,Synthetic Ward 2512,9512,421.13,3,Middle,0.59
2711,Synthetic Ward 2513,4656,459.95,4,Low,0.96
2712,Synthetic Ward 2514,7978,219.36,5,Middle,0.88
2713,Synthetic Ward 2515,433,247.59,5,Middle,0.97
2714,Synthetic Ward 2516,1535,152.75,3,Middle,0.66
2715,Synthetic Ward 2517,7896,206.43,6,High,0.97
2716,Synthetic Ward 2518,8232,282.73,5,Middle,0.68
2717,Synthetic Ward 2519,6400,353.47,3,Low,0.53
2718,Synthetic Ward 2520,1151,445.35,2,Low,0.88
2719,Synthetic Ward 2521,6164,255.78,6,Middle,0.85
2720,Synthetic Ward 2522,2015,14.58,4,Low,0.8
2721,Synthetic Ward 2523,644,149.25,5,High,0.74
2722,Synthetic Ward 2524,8608,465.65,3,Middle,0.52
2723,Synthetic Ward 2525,2433,342.31,2,Low,0.81
2724,Synthetic Ward 2526,7154,248.95,4,Low,0.71
2725,Synthetic Ward 2527,5355,118.21,3,Middle,0.78
2726,Synthetic Ward 2528,7681,152.39,3,Low,0.71
2727,Synthetic Ward 2529,526,185.4,4,Middle,0.98
2728,Synthetic Ward 2530,5959,57.49,2,Low,0.8
2729,Synthetic Ward 2531,7017,116.62,2,High,0.87
2730,Synthetic Ward 2532,3627,305.99,6,Low,0.97
2731,Synthetic Ward 2533,2235,317.1,5,Low,0.8
2732,Synthetic Ward 2534,4876,288.64,4,Middle,0.51
2733,Synthetic Ward 2535,2977,331.22,4,Low,0.52
2734,Synthetic Ward 2536,179,315.04,4,Middle,0.85
2735,Synthetic Ward 2537,3539,100.68,2,High,0.64
2736,Synthetic Ward 2538,9725,409.58,5,Middle,0.79
2737,Synthetic Ward 2539,1730,229.43,6,Middle,0.6
2738,Synthetic Ward 2540,3587,426.41,3,Low,0.64
2739,Synthetic Ward 2541,2637,106.04,3,High,0.75
2740,Synthetic Ward 2542,5792,262.73,4,Middle,0.99
2741,Synthetic Ward 2543,3496,314.94,5,Low,0.81
2742,Synthetic Ward 2544,1640,398.56,2,Low,0.97
2743,Synthetic Ward 2545,2296,144.36,5,Middle,0.98
2744,Synthetic Ward 2546,1648,123.89,5,Low,0.6
2745,Synthetic Ward 2547,7514,263.18,2,Middle,0.66
2746,Synthetic Ward 2548,4646,93.63,4,Middle,0.88
2747,Synthetic Ward 2549,2848,169.97,5,Middle,0.93
2748,Synthetic Ward 2550,7930,111.03,3,High,0.76
2749,Synthetic Ward 2551,4435,432.88,2,Middle,1.0
2750,Synthetic Ward 2552,8195,342.6,6,Low,0.51
2751,Synthetic Ward 2553,1252,67.74,4,High,0.65
2752,Synthetic Ward 2554,5475,63.39,2,Low,0.81
2753,Synthetic Ward 2555,7934,129.19,6,High,0.73
2754,Synthetic Ward 2556,9008,66.3,6,High,0.56
2755,Synthetic Ward 2557,425,460.41,5,High,0.68
2756,Synthetic Ward 2558,733,374.79,5,High,0.51
2757,Synthetic Ward 2559,680,172.75,5,Low,0.82
2758,Synthetic Ward 2560,8060,168.77,2,Middle,0.95
2759,Synthetic Ward 2561,413,134.64,2,Low,0.94
2760,Synthetic Ward 2562,5877,24.38,4,Middle,0.85
2761,Synthetic Ward 2563,1909,440.24,5,Low,0.73
2762,Synthetic Ward 2564,1867,329.41,6,High,0.76
2763,Synthetic Ward 2565,8324,332.06,3,High,0.57
2764,Synthetic Ward 2566,3055,111.65,4,Middle,0.67
2765,Synthetic Ward 2567,7177,384.01,2,Middle,0.59
2766,Synthetic Ward 2568,9554,453.89,4,Low,0.91
2767,Synthetic Ward 2569,4470,166.43,4,Middle,0.96
2768,Synthetic Ward 2570,5968,284.11,4,Low,0.77
2769,Synthetic Ward 2571,5054,26.17,4,Middle,0.86
2770,Synthetic Ward 2572,6932,74.57,3,Middle,0.56
2771,Synthetic Ward 2573,8803,200.68,5,Middle,0.8
2772,Synthetic Ward 2574,7031,142.63,6,High,0.85
2773,Synthetic Ward 2575,7474,470.02,4,High,0.73
2774,Synthetic Ward 2576,8669,205.65,4,Low,0.62
2775,Synthetic Ward 2577,4542,285.59,4,Middle,0.94
2776,Synthetic Ward 2578,284,244.97,5,Low,0.87
2777,Synthetic Ward 2579,704,357.74,2,Middle,0.95
2778,Synthetic Ward 2580,3872,201.97,2,High,0.91
2779,Synthetic Ward 2581,6078,355.7,3,High,1.0
2780,Synthetic Ward 2582,1257,192.42,2,Middle,0.6
2781,Synthetic Ward 2583,3126,444.67,4,Middle,0.54
2782,Synthetic Ward 2584,8505,361.66,4,High,0.67
2783,Synthetic Ward 2585,9801,498.55,4,High,0.56
2784,Synthetic Ward 2586,7841,427.83,3,Low,0.76
2785,Synthetic Ward 2587,234,123.29,4,High,0.82
2786,Synthetic Ward 2588,236,40.49,2,Middle,0.79
2787,Synthetic Ward 2589,628,52.73,5,Low,0.63
2788,Synthetic Ward 2590,2244,268.39,5,Middle,0.95
2789,Synthetic Ward 2591,9601,357.78,6,Low,0.51
2790,Synthetic Ward 2592,9324,208.12,2,Middle,0.67
2791,Synthetic Ward 2593,116,309.95,4,High,0.86
2792,Synthetic Ward 2594,7514,420.51,5,Middle,0.88
2793,Synthetic Ward 2595,8548,360.87,2,Low,0.71
2794,Synthetic Ward 2596,6120,168.46,5,Middle,0.51
2795,Synthetic Ward 2597,6933,318.32,4,Low,0.81
2796,Synthetic Ward 2598,8507,416.27,5,Middle,0.53
2797,Synthetic Ward 2599,9313,173.4,6,High,0.55
2798,Synthetic Ward 2600,7672,225.8,6,High,0.83
2799,Synthetic Ward 2601,921,496.41,5,Middle,0.66
2800,Synthetic Ward 2602,5035,370.92,2,Middle,0.67
2801,Synthetic Ward 2603,5610,227.38,2,Middle,0.74
2802,Synthetic Ward 2604,8966,450.33,2,Low,0.99
2803,Synthetic Ward 2605,6464,274.78,5,Middle,0.98
2804,Synthetic Ward 2606,3699,18.19,2,Middle,0.71
2805,Synthetic Ward 2607,983,232.37,4,Low,0.63
2806,Synthetic Ward 2608,9172,417.16,6,High,0.65
2807,Synthetic Ward 2609,9618,32.31,4,Middle,0.63
2808,Synthetic Ward 2610,8634,91.37,2,Middle,0.77
2809,Synthetic Ward 2611,8289,204.83,4,High,0.8
2810,Synthetic Ward 2612,5842,164.36,2,High,0.74
2811,Synthetic Ward 2613,6566,46.58,5,Low,0.7
2812,Synthetic Ward 2614,1211,420.13,4,Middle,0.61
2813,Synthetic Ward 2615,1100,11.03,5,Middle,0.74
2814,Synthetic Ward 2616,3777,322.79,5,Low,0.67
2815,Synthetic Ward 2617,7106,317.18,3,High,0.77
2816,Synthetic Ward 2618,3575,213.0,2,Low,0.84
2817,Synthetic Ward 2619,4258,450.17,6,High,0.82
2818,Synthetic Ward 2620,8310,45.13,2,Low,0.73
2819,Synthetic Ward 2621,3045,124.26,6,High,0.78
2820,Synthetic Ward 2622,5262,384.18,2,Low,0.64
2821,Synthetic Ward 2623,5074,261.4,5,High,0.51
2822,Synthetic Ward 2624,9083,343.58,4,High,0.81
2823,Synthetic Ward 2625,6856,132.25,4,High,0.63
2824,Synthetic Ward 2626,2711,28.22,3,High,0.83
2825,Synthetic Ward 2627,5318,28.96,6,High,0.87
2826,Synthetic Ward 2628,6095,415.37,6,Middle,0.96
2827,Synthetic Ward 2629,7730,398.1,6,High,0.98
2828,Synthetic Ward 2630,2517,367.25,5,Middle,0.51
2829,Synthetic Ward 2631,5835,325.8,6,High,1.0
2830,Synthetic Ward 2632,9846,251.26,4,Middle,0.84
2831,Synthetic Ward 2633,238,435.64,5,Middle,0.82
2832,Synthetic Ward 2634,9099,177.32,2,Low,0.51
2833,Synthetic Ward 2635,9371,188.58,6,High,0.93
2834,Synthetic Ward 2636,8510,84.62,6,Low,0.57
2835,Synthetic Ward 2637,3431,24.8,2,Low,0.92
2836,Synthetic Ward 2638,6679,180.33,6,High,0.51
2837,Synthetic Ward 2639,1042,424.56,2,Low,0.82
2838,Synthetic Ward 2640,6246,358.3,5,High,0.72
2839,Synthetic Ward 2641,5832,285.83,4,Low,0.6
2840,Synthetic Ward 2642,1573,464.63,2,High,0.55
2841,Synthetic Ward 2643,8094,446.68,3,High,0.72
2842,Synthetic Ward 2644,3959,437.35,2,High,0.56
2843,Synthetic Ward 2645,250,342.98,6,Middle,0.74
2844,Synthetic Ward 2646,1687,253.26,5,Low,0.81
2845,Synthetic Ward 2647,5621,163.43,5,Middle,0.91
2846,Synthetic Ward 2648,9863,273.9,2,Low,0.84
2847,Synthetic Ward 2649,1242,91.22,4,Low,0.53
2848,Synthetic Ward 2650,6592,435.81,3,Low,0.65
2849,Synthetic Ward 2651,8394,447.9,5,Middle,0.64
2850,Synthetic Ward 2652,2883,196.96,6,Low,0.96
2851,Synthetic Ward 2653,4103,268.72,6,Middle,0.93
2852,Synthetic Ward 2654,7593,429.44,4,High,0.69
2853,Synthetic Ward 2655,6720,491.66,5,Low,0.54
2854,Synthetic Ward 2656,2271,442.54,2,Low,0.95
2855,Synthetic Ward 2657,538,235.74,6,High,0.94
2856,Synthetic Ward 2658,6217,195.43,4,High,0.93
2857,Synthetic Ward 2659,1920,157.6,5,Low,0.92
2858,Synthetic Ward 2660,8738,100.64,5,High,0.74
2859,Synthetic Ward 2661,6915,109.17,5,Middle,0.59
2860,Synthetic Ward 2662,7101,423.64,5,Middle,0.74
2861,Synthetic Ward 2663,3885,93.93,5,Low,0.75
2862,Synthetic Ward 2664,7467,456.89,6,Middle,0.74
2863,Synthetic Ward 2665,887,139.34,4,Middle,0.77
2864,Synthetic Ward 2666,694,188.22,5,Low,0.63
2865,Synthetic Ward 2667,4989,71.41,3,High,0.68
2866,Synthetic Ward 2668,501,370.92,3,Low,0.72
2867,Synthetic Ward 2669,9189,164.18,4,Middle,0.57
2868,Synthetic Ward 2670,9461,111.66,2,Low,0.73
2869,Synthetic Ward 2671,5931,69.55,2,Low,0.91
2870,Synthetic Ward 2672,7440,214.7,2,Middle,0.91
2871,Synthetic Ward 2673,6161,483.16,3,Middle,0.71
2872,Synthetic Ward 2674,8456,312.95,2,Low,0.76
2873,Synthetic Ward 2675,9887,436.85,6,Middle,0.52
2874,Synthetic Ward 2676,9482,175.1,5,Middle,0.84
2875,Synthetic Ward 2677,9792,329.18,3,Middle,0.7
2876,Synthetic Ward 2678,4292,485.17,4,Middle,0.72
2877,Synthetic Ward 2679,9782,189.02,4,Middle,0.94
2878,Synthetic Ward 2680,8847,403.38,5,Middle,0.73
2879,Synthetic Ward 2681,2534,271.11,3,High,0.51
2880,Synthetic Ward 2682,2362,286.36,2,Low,0.61
2881,Synthetic Ward 2683,5349,410.63,2,Middle,0.74
2882,Synthetic Ward 2684,7437,60.98,6,Low,0.71
2883,Synthetic Ward 2685,531,288.86,6,High,0.93
2884,Synthetic Ward 2686,3510,360.65,2,Middle,0.77
2885,Synthetic Ward 2687,8355,148.9,4,Low,0.84
2886,Synthetic Ward 2688,9926,433.77,4,Middle,0.73
2887,Synthetic Ward 2689,8435,299.91,6,Middle,0.72
2888,Synthetic Ward 2690,7586,111.67,5,Middle,0.72
2889,Synthetic Ward 2691,3251,69.95,2,Middle,0.71
2890,Synthetic Ward 2692,4137,54.78,6,Middle,0.77
2891,Synthetic Ward 2693,9388,363.67,6,Middle,0.63
2892,Synthetic Ward 2694,6439,489.25,2,Middle,0.95
2893,Synthetic Ward 2695,429,130.39,2,High,0.67
2894,Synthetic Ward 2696,7619,462.05,4,High,0.57
2895,Synthetic Ward 2697,6214,371.4,5,Middle,0.55
2896,Synthetic Ward 2698,7996,156.29,5,Middle,0.51
2897,Synthetic Ward 2699,9741,239.8,2,High,0.71
2898,Synthetic Ward 2700,4673,344.05,3,High,0.59
2899,Synthetic Ward 2701,2085,26.28,6,High,0.51
2900,Synthetic Ward 2702,2290,251.97,6,Middle,0.76
2901,Synthetic Ward 2703,9057,173.78,2,Low,0.84
2902,Synthetic Ward 2704,3627,202.1,3,Low,0.54
2903,Synthetic Ward 2705,9626,100.92,4,Low,0.73
2904,Synthetic Ward 2706,5953,496.82,2,Low,0.87
2905,Synthetic Ward 2707,4367,233.38,2,Middle,0.99
2906,Synthetic Ward 2708,9522,173.66,6,Low,0.83
2907,Synthetic Ward 2709,6544,476.5,2,High,0.62
2908,Synthetic Ward 2710,2583,66.16,2,High,0.86
2909,Synthetic Ward 2711,9334,429.39,2,Low,0.8
2910,Synthetic Ward 2712,7555,113.73,6,High,0.61
2911,Synthetic Ward 2713,7401,85.46,4,Middle,0.93
2912,Synthetic Ward 2714,8758,206.41,4,Low,0.71
2913,Synthetic Ward 2715,7175,417.88,2,Low,0.98
2914,Synthetic Ward 2716,8901,121.04,6,Middle,0.86
2915,Synthetic Ward 2717,9602,191.64,4,High,0.82
2916,Synthetic Ward 2718,9650,413.47,4,Middle,0.86
2917,Synthetic Ward 2719,8188,274.95,4,Middle,0.74
2918,Synthetic Ward 2720,6094,428.32,6,High,0.75
2919,Synthetic Ward 2721,3933,328.64,6,Middle,0.93
2920,Synthetic Ward 2722,3819,15.22,2,High,0.84
2921,Synthetic Ward 2723,1600,74.24,5,High,0.95
2922,Synthetic Ward 2724,9886,242.28,4,Middle,0.95
2923,Synthetic Ward 2725,796,223.98,5,High,0.99
2924,Synthetic Ward 2726,2638,138.7,6,Middle,0.85
2925,Synthetic Ward 2727,7720,26.05,6,High,0.75
2926,Synthetic Ward 2728,8646,483.93,6,Low,0.58
2927,Synthetic Ward 2729,1543,451.73,5,High,0.85
2928,Synthetic Ward 2730,2254,301.62,6,High,0.65
2929,Synthetic Ward 2731,7156,192.22,2,Middle,0.64
2930,Synthetic Ward 2732,8900,179.12,6,High,0.62
2931,Synthetic Ward 2733,4223,314.11,3,Low,0.94
2932,Synthetic Ward 2734,2839,20.29,5,Low,0.93
2933,Synthetic Ward 2735,8443,432.33,3,High,0.82
2934,Synthetic Ward 2736,3621,119.47,6,High,0.74
2935,Synthetic Ward 2737,1274,61.84,2,Low,0.84
2936,Synthetic Ward 2738,3100,166.82,4,Middle,0.8
2937,Synthetic Ward 2739,9178,239.62,6,Low,0.71
2938,Synthetic Ward 2740,8482,459.16,2,Low,0.69
2939,Synthetic Ward 2741,1159,62.85,5,High,0.69
2940,Synthetic Ward 2742,3009,74.84,3,High,0.79
2941,Synthetic Ward 2743,9688,336.22,3,Low,0.82
2942,Synthetic Ward 2744,1781,291.14,3,Middle,0.73
2943,Synthetic Ward 2745,1654,19.76,5,Low,0.98
2944,Synthetic Ward 2746,3678,146.09,2,Low,0.54
2945,Synthetic Ward 2747,5158,337.72,5,Middle,0.67
2946,Synthetic Ward 2748,2621,327.85,3,Low,0.71
2947,Synthetic Ward 2749,3402,398.56,6,Low,0.51
2948,Synthetic Ward 2750,4192,65.65,4,High,0.68
2949,Synthetic Ward 2751,2638,238.13,5,Middle,0.64
2950,Synthetic Ward 2752,113,305.99,5,High,0.75
2951,Synthetic Ward 2753,5294,232.62,2,High,0.67
2952,Synthetic Ward 2754,7828,40.55,2,Middle,0.86
2953,Synthetic Ward 2755,1713,27.78,5,Middle,0.75
2954,Synthetic Ward 2756,6546,370.76,3,Low,0.56
2955,Synthetic Ward 2757,239,209.66,4,High,0.88
2956,Synthetic Ward 2758,8495,334.6,2,Middle,0.55
2957,Synthetic Ward 2759,2915,182.46,3,High,0.92
2958,Synthetic Ward 2760,1743,403.45,6,High,0.97
2959,Synthetic Ward 2761,8130,325.8,2,Middle,0.66
2960,Synthetic Ward 2762,3587,184.99,3,Low,0.96
2961,Synthetic Ward 2763,5301,404.0,3,High,0.9
2962,Synthetic Ward 2764,9676,28.64,4,Middle,0.96
2963,Synthetic Ward 2765,5582,51.13,4,Low,0.83
2964,Synthetic Ward 2766,9048,32.1,6,High,0.62
2965,Synthetic Ward 2767,6037,219.7,3,Middle,0.95
2966,Synthetic Ward 2768,2195,254.21,3,High,0.59
2967,Synthetic Ward 2769,5325,165.31,4,Middle,0.61
2968,Synthetic Ward 2770,9880,408.86,2,Middle,0.64
2969,Synthetic Ward 2771,9286,409.5,2,High,0.65
2970,Synthetic Ward 2772,4264,131.33,5,High,0.76
2971,Synthetic Ward 2773,4696,461.13,4,Middle,0.86
2972,Synthetic Ward 2774,4931,64.13,5,Low,0.96
2973,Synthetic Ward 2775,5849,49.36,4,High,0.54
2974,Synthetic Ward 2776,3792,45.27,6,Middle,0.98
2975,Synthetic Ward 2777,2999,330.15,3,Middle,0.96
2976,Synthetic Ward 2778,5290,325.65,6,Low,0.53
2977,Synthetic Ward 2779,2647,71.67,4,Low,0.68
2978,Synthetic Ward 2780,9410,397.96,3,Low,0.91
2979,Synthetic Ward 2781,5686,353.11,2,High,0.81
2980,Synthetic Ward 2782,1404,344.83,2,Middle,0.89
2981,Synthetic Ward 2783,3119,475.18,5,Middle,0.86
2982,Synthetic Ward 2784,8268,286.8,4,Middle,0.75
2983,Synthetic Ward 2785,3597,147.16,4,Low,0.52
2984,Synthetic Ward 2786,5961,22.68,2,Middle,0.79
2985,Synthetic Ward 2787,121,271.57,6,High,0.52
2986,Synthetic Ward 2788,4384,295.22,3,Low,0.8
2987,Synthetic Ward 2789,9490,476.2,6,Low,0.9
2988,Synthetic Ward 2790,8472,143.69,6,Low,0.79
2989,Synthetic Ward 2791,6248,84.12,2,Low,1.0
2990,Synthetic Ward 2792,5092,243.02,2,High,0.73
2991,Synthetic Ward 2793,7990,84.84,2,Middle,0.87
2992,Synthetic Ward 2794,6653,276.27,5,High,0.83
2993,Synthetic Ward 2795,2746,90.72,6,Middle,1.0
2994,Synthetic Ward 2796,2021,217.2,4,High,0.86
2995,Synthetic Ward 2797,4170,185.05,3,Low,0.58
2996,Synthetic Ward 2798,7424,258.68,5,Low,0.98
2997,Synthetic Ward 2799,4780,111.42,4,High,0.83
2998,Synthetic Ward 2800,2253,356.19,6,High,0.53
2999,Synthetic Ward 2801,3117,351.38,2,Middle,0.83
3000,Synthetic Ward 2802,6697,328.86,6,High,0.94
3001,Synthetic Ward 2803,4262,438.98,3,High,0.79
3002,Synthetic Ward 2804,1595,203.29,5,Middle,0.68
3003,Synthetic Ward 2805,3508,189.0,5,Middle,0.91
3004,Synthetic Ward 2806,2967,415.1,3,Middle,0.89
3005,Synthetic Ward 2807,1599,139.9,4,High,0.77
3006,Synthetic Ward 2808,3585,337.75,4,Middle,0.58
3007,Synthetic Ward 2809,531,98.45,5,Low,0.63
3008,Synthetic Ward 2810,2763,93.68,5,Low,0.87
3009,Synthetic Ward 2811,6605,494.95,2,Low,0.9
3010,Synthetic Ward 2812,5813,254.76,4,High,0.64
3011,Synthetic Ward 2813,1949,274.74,3,Low,0.68
3012,Synthetic Ward 2814,6007,185.33,4,High,0.54
3013,Synthetic Ward 2815,2302,486.48,2,High,0.86
3014,Synthetic Ward 2816,5452,483.16,5,Low,0.5
3015,Synthetic Ward 2817,8737,468.47,5,Middle,0.52
3016,Synthetic Ward 2818,8943,425.78,2,High,0.5
3017,Synthetic Ward 2819,9125,357.9,3,Low,0.82
3018,Synthetic Ward 2820,4833,475.7,5,High,0.71
3019,Synthetic Ward 2821,1557,360.38,6,Middle,0.65
3020,Synthetic Ward 2822,4772,325.41,5,Middle,0.96
3021,Synthetic Ward 2823,682,311.6,6,Low,0.6
3022,Synthetic Ward 2824,6728,158.2,2,High,0.69
3023,Synthetic Ward 2825,666,270.63,2,High,0.97
3024,Synthetic Ward 2826,1367,407.52,5,High,0.71
3025,Synthetic Ward 2827,4927,237.78,4,High,0.78
3026,Synthetic Ward 2828,3404,146.28,6,Low,0.54
3027,Synthetic Ward 2829,6097,61.8,3,Middle,0.9
3028,Synthetic Ward 2830,3992,298.29,5,Low,0.71
3029,Synthetic Ward 2831,1300,44.25,3,High,0.9
3030,Synthetic Ward 2832,8714,27.25,5,High,0.63
3031,Synthetic Ward 2833,4703,106.82,4,Middle,0.71
3032,Synthetic Ward 2834,717,176.32,4,High,0.89
3033,Synthetic Ward 2835,495,340.61,4,Low,0.99
3034,Synthetic Ward 2836,953,349.68,4,Low,0.53
3035,Synthetic Ward 2837,2974,116.41,2,Middle,0.91
3036,Synthetic Ward 2838,1145,394.27,2,Low,0.65
3037,Synthetic Ward 2839,5097,390.8,6,Low,0.78
3038,Synthetic Ward 2840,8582,400.34,3,Low,0.65
3039,Synthetic Ward 2841,529,281.99,5,Low,0.81
3040,Synthetic Ward 2842,1015,157.58,5,High,0.68
3041,Synthetic Ward 2843,9933,218.2,2,Low,0.67
3042,Synthetic Ward 2844,3567,260.85,5,Middle,0.52
3043,Synthetic Ward 2845,5307,385.46,2,Middle,0.57
3044,Synthetic Ward 2846,5611,259.7,6,Low,0.96
3045,Synthetic Ward 2847,7474,273.14,3,Middle,1.0
3046,Synthetic Ward 2848,914,193.55,6,Low,0.89
3047,Synthetic Ward 2849,8823,35.79,4,Middle,0.64
3048,Synthetic Ward 2850,5165,84.35,4,Middle,0.7
3049,Synthetic Ward 2851,7961,294.84,4,Low,0.87
3050,Synthetic Ward 2852,6870,32.22,6,Low,0.98
3051,Synthetic Ward 2853,5492,397.27,5,High,0.73
3052,Synthetic Ward 2854,837,348.98,3,Low,0.91
3053,Synthetic Ward 2855,987,356.0,4,Low,0.99
3054,Synthetic Ward 2856,1526,208.59,4,High,0.94
3055,Synthetic Ward 2857,5321,146.14,4,Low,0.61
3056,Synthetic Ward 2858,4257,359.53,3,Low,0.5
3057,Synthetic Ward 2859,3890,20.79,4,High,0.75
3058,Synthetic Ward 2860,1894,372.83,3,Low,0.77
3059,Synthetic Ward 2861,862,169.69,4,Low,0.6
3060,Synthetic Ward 2862,9399,302.48,6,High,0.64
3061,Synthetic Ward 2863,7381,116.24,6,High,0.88
3062,Synthetic Ward 2864,8848,214.32,3,Middle,0.74
3063,Synthetic Ward 2865,4482,231.34,6,Low,0.66
3064,Synthetic Ward 2866,5812,369.69,3,Middle,0.81
3065,Synthetic Ward 2867,8305,108.31,6,Middle,0.83
3066,Synthetic Ward 2868,467,465.77,6,High,0.88
3067,Synthetic Ward 2869,2364,81.14,3,Low,0.58
3068,Synthetic Ward 2870,3684,427.23,5,Low,0.87
3069,Synthetic Ward 2871,2498,126.53,6,High,0.8
3070,Synthetic Ward 2872,4613,341.41,4,Middle,0.53
3071,Synthetic Ward 2873,8268,187.87,5,High,0.89
